window_id,start_index,end_index,n_rows,n_sequences,model_version_used,drift_detected,static_accuracy,static_precision,static_recall,static_f1,adaptive_accuracy,adaptive_precision,adaptive_recall,adaptive_f1
0,30000,30999,1000,991,0,False,0.9152371342078708,1.0,0.8313253012048193,0.9078947368421053,0.9152371342078708,1.0,0.8313253012048193,0.9078947368421053
1,31000,31999,1000,991,0,False,0.9031281533804238,1.0,0.8016528925619835,0.8899082568807339,0.9031281533804238,1.0,0.8016528925619835,0.8899082568807339
2,32000,32999,1000,991,0,False,0.917255297679112,1.0,0.8259023354564756,0.9046511627906977,0.917255297679112,1.0,0.8259023354564756,0.9046511627906977
3,33000,33999,1000,991,0,False,0.9162462159434914,1.0,0.8313008130081301,0.9078801331853497,0.9162462159434914,1.0,0.8313008130081301,0.9078801331853497
4,34000,34999,1000,991,0,False,0.9112008072653885,1.0,0.8082788671023965,0.8939759036144578,0.9112008072653885,1.0,0.8082788671023965,0.8939759036144578
5,35000,35999,1000,991,0,False,0.929364278506559,1.0,0.8588709677419355,0.9240780911062907,0.929364278506559,1.0,0.8588709677419355,0.9240780911062907
6,36000,36999,1000,991,0,False,0.9132189707366297,1.0,0.815845824411135,0.8985849056603774,0.9132189707366297,1.0,0.815845824411135,0.8985849056603774
7,37000,37999,1000,991,0,False,0.9445005045408678,0.9974554707379135,0.8789237668161435,0.9344457687723481,0.9445005045408678,0.9974554707379135,0.8789237668161435,0.9344457687723481
8,38000,38999,1000,991,0,True,0.9868819374369324,1.0,0.9665809768637532,0.9830065359477124,0.9868819374369324,1.0,0.9665809768637532,0.9830065359477124
9,39000,39999,1000,991,1,False,0.9838546922300706,1.0,0.9627039627039627,0.9809976247030879,0.9969727547931383,0.9976635514018691,0.9953379953379954,0.9964994165694282
10,40000,40999,1000,991,1,False,0.9828456104944501,1.0,0.954177897574124,0.976551724137931,0.9909182643794148,0.9972527472527473,0.9784366576819407,0.9877551020408163
11,41000,41999,1000,991,1,False,0.9818365287588294,0.9975369458128078,0.9597156398104265,0.9782608695652174,0.9959636730575177,0.9976190476190476,0.9928909952606635,0.995249406175772
12,42000,42999,1000,991,1,False,0.9798183652875883,1.0,0.949748743718593,0.9742268041237113,0.9919273461150353,1.0,0.9798994974874372,0.9898477157360406
13,43000,43999,1000,991,1,False,0.9828456104944501,1.0,0.9603729603729604,0.9797859690844233,0.9939455095862765,1.0,0.986013986013986,0.9929577464788732
14,44000,44999,1000,991,1,False,0.9838546922300706,1.0,0.9632183908045977,0.9812646370023419,0.9949545913218971,1.0,0.9885057471264368,0.9942196531791907
15,45000,45999,1000,991,1,False,0.9828456104944501,1.0,0.9582309582309583,0.9786700125470514,0.9959636730575177,0.9975308641975309,0.9926289926289926,0.9950738916256158
16,46000,46999,1000,991,1,False,0.9808274470232089,1.0,0.9543269230769231,0.976629766297663,0.9939455095862765,1.0,0.9855769230769231,0.9927360774818402
17,47000,47999,1000,991,1,False,0.9808274470232089,1.0,0.9580573951434879,0.9785794813979707,0.9919273461150353,1.0,0.9823399558498896,0.9910913140311804
18,48000,48999,1000,991,1,False,0.9788092835519677,0.9975845410628019,0.953810623556582,0.9752066115702479,0.9919273461150353,0.9953379953379954,0.9861431870669746,0.9907192575406032
19,49000,49999,1000,991,1,False,0.9858728557013118,0.9922279792746114,0.9720812182741116,0.982051282051282,0.9979818365287588,1.0,0.9949238578680203,0.9974554707379135
