window_id,start_index,end_index,static_accuracy,static_precision,static_recall,static_f1,adaptive_accuracy,adaptive_precision,adaptive_recall,adaptive_f1
0,30000,30999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,31000,31999,0.995,1.0,0.9897750511247444,0.9948612538540597,0.995,1.0,0.9897750511247444,0.9948612538540597
2,32000,32999,0.998,1.0,0.9957983193277311,0.9978947368421053,0.998,1.0,0.9957983193277311,0.9978947368421053
3,33000,33999,0.997,1.0,0.993963782696177,0.9969727547931383,0.997,1.0,0.993963782696177,0.9969727547931383
4,34000,34999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,35000,35999,0.999,1.0,0.99800796812749,0.9990029910269193,0.999,1.0,0.99800796812749,0.9990029910269193
6,36000,36999,0.998,1.0,0.9957537154989384,0.997872340425532,0.998,1.0,0.9957537154989384,0.997872340425532
7,37000,37999,0.994,1.0,0.9866369710467706,0.9932735426008968,0.994,1.0,0.9866369710467706,0.9932735426008968
8,38000,38999,0.999,1.0,0.9974554707379135,0.9987261146496815,0.999,1.0,0.9974554707379135,0.9987261146496815
9,39000,39999,0.996,0.9976744186046511,0.9930555555555556,0.9953596287703016,0.996,0.9976744186046511,0.9930555555555556,0.9953596287703016
10,40000,40999,0.992,0.9945945945945946,0.983957219251337,0.989247311827957,0.992,0.9945945945945946,0.983957219251337,0.989247311827957
11,41000,41999,0.994,1.0,0.9858823529411764,0.9928909952606635,0.994,1.0,0.9858823529411764,0.9928909952606635
12,42000,42999,0.994,0.995,0.9900497512437811,0.9925187032418953,0.994,0.995,0.9900497512437811,0.9925187032418953
13,43000,43999,0.997,1.0,0.9930555555555556,0.9965156794425087,0.997,1.0,0.9930555555555556,0.9965156794425087
14,44000,44999,0.993,0.9976958525345622,0.9863325740318907,0.9919816723940436,0.993,0.9976958525345622,0.9863325740318907,0.9919816723940436
15,45000,45999,0.993,1.0,0.9829268292682927,0.991389913899139,0.993,1.0,0.9829268292682927,0.991389913899139
16,46000,46999,0.996,1.0,0.9904761904761905,0.9952153110047847,0.996,1.0,0.9904761904761905,0.9952153110047847
17,47000,47999,0.998,1.0,0.9956236323851203,0.9978070175438597,0.998,1.0,0.9956236323851203,0.9978070175438597
18,48000,48999,0.993,1.0,0.9840182648401826,0.9919447640966629,0.993,1.0,0.9840182648401826,0.9919447640966629
19,49000,49999,0.995,0.995,0.9925187032418953,0.9937578027465668,0.995,0.995,0.9925187032418953,0.9937578027465668
