window_id,start_index,end_index,accuracy,precision,recall,f1
0,0,999,1.0,1.0,1.0,1.0
1,1000,1999,0.995,1.0,0.9897750511247444,0.9948612538540597
2,2000,2999,0.998,1.0,0.9957983193277311,0.9978947368421053
3,3000,3999,0.997,1.0,0.993963782696177,0.9969727547931383
4,4000,4999,1.0,1.0,1.0,1.0
5,5000,5999,0.999,1.0,0.99800796812749,0.9990029910269193
6,6000,6999,0.998,1.0,0.9957537154989384,0.997872340425532
7,7000,7999,0.994,1.0,0.9866369710467706,0.9932735426008968
8,8000,8999,0.999,1.0,0.9974554707379135,0.9987261146496815
9,9000,9999,0.996,0.9976744186046511,0.9930555555555556,0.9953596287703016
10,10000,10999,0.992,0.9945945945945946,0.983957219251337,0.989247311827957
11,11000,11999,0.994,1.0,0.9858823529411764,0.9928909952606635
12,12000,12999,0.994,0.995,0.9900497512437811,0.9925187032418953
13,13000,13999,0.997,1.0,0.9930555555555556,0.9965156794425087
14,14000,14999,0.993,0.9976958525345622,0.9863325740318907,0.9919816723940436
15,15000,15999,0.993,1.0,0.9829268292682927,0.991389913899139
16,16000,16999,0.996,1.0,0.9904761904761905,0.9952153110047847
17,17000,17999,0.998,1.0,0.9956236323851203,0.9978070175438597
18,18000,18999,0.993,1.0,0.9840182648401826,0.9919447640966629
19,19000,19999,0.995,0.995,0.9925187032418953,0.9937578027465668
